Year,Sheriffdom,Court,Postcode,X_Easting,Y_Northing,Latitude,Longitude,fp_ValImp,fp_ValPaid,fp_ValDis,cr_ValReg,cr_ValDis,cr_TotValtbp,cr_ValPaidtd,cr_Valpot,cr_ValArrears,cr_ValFinesptd_percent,fp_NumImp,fp_NumFullyPaid,fp_NumDischa,cr_NumReg,cr_NumDischa,cr_Numtbp,cr_NumFullyPaid,cr_Numpot,cr_NumArrears,cr_NumNoPayRec,cr_NumFullyPaid_percent
y18_19,"South Strathclyde, Dumfries & Galloway",Airdrie,ML6 6EE,276407,665402,55.865896,-3.9765052,16 ,6 ,10 ,15 ,2 ,13 ,8 ,1 ,4 ,0.73 ,405,158,247,242,26,216,122,23,7,64,0.75 
y18_19,"South Strathclyde, Dumfries & Galloway",Ayr,KA7 1EE,233271,621791,55.461472,-4.6385792,13 ,6 ,6 ,9 ,1 ,8 ,5 ,1 ,2 ,0.81 ,313,161,152,148,14,134,83,11,6,34,0.83 
y18_19,"South Strathclyde, Dumfries & Galloway",Dumfries,DG1 2AN,296977,576186,55.069413,-3.6148742,6 ,3 ,3 ,4 ,0 ,3 ,2 ,0 ,1 ,0.79 ,151,84,67,62,5,57,33,2,1,21,0.83 
y18_19,"South Strathclyde, Dumfries & Galloway",Hamilton,ML3 0BT,271466,656064,55.780756,-4.050985,36 ,12 ,24 ,36 ,3 ,33 ,13 ,3 ,17 ,0.56 ,903,299,604,597,53,544,196,56,34,258,0.59 
y18_19,"South Strathclyde, Dumfries & Galloway",Lanark,ML11 7NE,288066,643877,55.675438,-3.7814678,4 ,1 ,2 ,4 ,0 ,3 ,2 ,1 ,1 ,0.68 ,97,36,61,62,5,57,29,12,1,15,0.70 
y18_19,"South Strathclyde, Dumfries & Galloway",Stranraer,DG9 7AA,205995,560668,54.902952,-5.0274369,2 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0.90 ,40,30,10,9,0,9,6,0,0,3,0.92 
y18_19,Lothian & Borders,Edinburgh,EH1 1LB,325734,673405,55.947919,-3.1907488,13 ,7 ,6 ,10 ,1 ,8 ,6 ,0 ,2 ,0.84 ,329,168,161,160,21,139,97,4,4,34,0.86 
y18_19,Lothian & Borders,Jedburgh,TD8 6AR,364951,620495,55.477009,-2.556049,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.88 ,21,14,7,7,0,7,5,0,0,2,0.90 
y18_19,Lothian & Borders,Livingston,EH54 6FF,305269,667017,55.886943,-3.5160844,2 ,1 ,1 ,2 ,0 ,1 ,1 ,0 ,0 ,0.90 ,48,23,25,27,4,23,19,1,1,2,0.91 
y18_19,Lothian & Borders,Selkirk,TD7 4LE,346958,628626,55.548437,-2.8422386,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.92 ,15,8,7,9,2,7,6,0,0,1,0.93 
y18_19,Tayside Central & Fife,Alloa,FK10 1JA,288638,692953,56.116295,-3.792592,1 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,1.00 ,25,10,15,18,3,15,15,0,0,0,1.00 
y18_19,Tayside Central & Fife,Dundee,DD1 9AD,339008,730386,56.461653,-2.9913622,11 ,7 ,4 ,5 ,1 ,4 ,4 ,0 ,0 ,0.98 ,269,166,103,86,19,67,63,1,1,2,0.98 
y18_19,Tayside Central & Fife,Dunfermline,KY12 7HJ,309471,687660,56.073163,-3.4558807,2 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0.96 ,46,27,19,18,4,14,12,1,0,1,0.95 
